dark purple, light purple, dark blue, light blue, dark green, light green, yellow, orange, dark red, light red, white
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:0, 2:5, 3:51, 4:1107, 5:815, 6:748, 7:156, 8:24, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (45)_color_threshold_idx_1_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:100, 5:2265, 6:5321, 7:611, 8:26, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_0_chunck_6_region_26_labels_3_G.png, 1:17646, 2:14601, 3:6063, 4:800, 5:69, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:0, 2:0, 3:0, 4:0, 5:110, 6:936, 7:36, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (47)_color_threshold_idx_1_chunck_11_region_55_labels_1_G.png, 1:0, 2:0, 3:21, 4:706, 5:489, 6:394, 7:18, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (48)_color_threshold_idx_2_chunck_7_region_4_labels_3_G.png, 1:5195, 2:18130, 3:10886, 4:9885, 5:8226, 6:6658, 7:1102, 8:464, 9:124, 10:49, 11:2, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (49)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:29, 5:624, 6:1449, 7:109, 8:3, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (5)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:1, 3:460, 4:2151, 5:7040, 6:10297, 7:979, 8:8, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_5_region_9_labels_1_G.png, 1:2665, 2:1094, 3:191, 4:14, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_9_region_9_labels_3_G.png, 1:22189, 2:9788, 3:2478, 4:613, 5:102, 6:29, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (51)_color_threshold_idx_1_chunck_10_region_65_labels_2_G.png, 1:0, 2:455, 3:3101, 4:23234, 5:17197, 6:17076, 7:1873, 8:313, 9:22, 10:6, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (52)_color_threshold_idx_0_chunck_0_region_42_labels_0_G.png, 1:17544, 2:72895, 3:11063, 4:2291, 5:684, 6:190, 7:37, 8:3, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (53)_color_threshold_idx_0_chunck_0_region_13_labels_0_G.png, 1:154804, 2:73220, 3:21593, 4:4007, 5:944, 6:155, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (54)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:258, 5:521, 6:591, 7:8, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (55)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:0, 2:27, 3:809, 4:5252, 5:5521, 6:7662, 7:1140, 8:106, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (56)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:19, 5:530, 6:1015, 7:25, 8:8, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_1_chunck_2_region_4_labels_1_G.png, 1:0, 2:0, 3:3, 4:284, 5:731, 6:1667, 7:31, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_2_chunck_0_region_4_labels_0_G.png, 1:68423, 2:72404, 3:12092, 4:18544, 5:15317, 6:17984, 7:2652, 8:383, 9:3, 10:3, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (58)_color_threshold_idx_1_chunck_7_region_28_labels_1_G.png, 1:0, 2:5, 3:1207, 4:10042, 5:6996, 6:4867, 7:459, 8:44, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_7_region_34_labels_1_G.png, 1:0, 2:0, 3:133, 4:4963, 5:3011, 6:578, 7:6, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_8_region_34_labels_2_G.png, 1:0, 2:133, 3:879, 4:5413, 5:6501, 6:10778, 7:1282, 8:355, 9:27, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (6)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:70, 2:7195, 3:9117, 4:1326, 5:90, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (60)_color_threshold_idx_2_chunck_7_region_33_labels_1_G.png, 1:1, 2:92, 3:528, 4:3237, 5:4500, 6:3157, 7:145, 8:11, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (61)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:29, 5:642, 6:1439, 7:10, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (62)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:100, 6:1282, 7:1, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (63)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:1, 5:153, 6:503, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_1_chunck_12_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:26, 5:214, 6:367, 7:27, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_2_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:669, 7:10, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (65)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:0, 2:0, 3:29, 4:2326, 5:995, 6:1086, 7:302, 8:64, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_1_chunck_6_region_89_labels_1_G.png, 1:0, 2:0, 3:71, 4:2853, 5:4804, 6:8774, 7:1203, 8:52, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_2_chunck_5_region_82_labels_1_G.png, 1:0, 2:0, 3:208, 4:2745, 5:4764, 6:8695, 7:1203, 8:52, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (67)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:109, 2:626, 3:2940, 4:15890, 5:15488, 6:20776, 7:7755, 8:5930, 9:335, 10:92, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (68)_color_threshold_idx_1_chunck_9_region_4_labels_3_G.png, 1:25, 2:85, 3:915, 4:8490, 5:8175, 6:9129, 7:1402, 8:144, 9:3, 10:3, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (69)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:0, 2:0, 3:283, 4:8164, 5:6192, 6:4121, 7:319, 8:22, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_0_chunck_6_region_-1_labels_-1_G.png, 1:0, 2:303, 3:1959, 4:104, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_2_chunck_7_region_160_labels_0_G.png, 1:0, 2:3195, 3:3808, 4:1407, 5:759, 6:1304, 7:7, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (70)_color_threshold_idx_2_chunck_2_region_14_labels_1_G.png, 1:0, 2:0, 3:33, 4:1195, 5:5485, 6:7624, 7:664, 8:7, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (71)_color_threshold_idx_2_chunck_15_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:45, 5:176, 6:435, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_1_chunck_12_region_1_labels_1_G.png, 1:0, 2:0, 3:141, 4:10024, 5:6757, 6:2215, 7:59, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_2_chunck_5_region_1_labels_1_G.png, 1:858, 2:3489, 3:1383, 4:1897, 5:2093, 6:3986, 7:463, 8:65, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (73)_color_threshold_idx_1_chunck_8_region_-1_labels_-1_G.png, 1:0, 2:0, 3:387, 4:4284, 5:935, 6:319, 7:82, 8:7, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_3_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:74, 6:3472, 7:290, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_6_region_389_labels_0_G.png, 1:0, 2:0, 3:234, 4:5032, 5:4263, 6:3689, 7:431, 8:10, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_0_chunck_7_region_173_labels_1_G.png, 1:0, 2:412, 3:1635, 4:289, 5:47, 6:16, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_1_chunck_9_region_7_labels_1_G.png, 1:0, 2:7, 3:138, 4:1350, 5:547, 6:437, 7:18, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (76)_color_threshold_idx_2_chunck_6_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:112, 5:385, 6:856, 7:110, 8:20, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (77)_color_threshold_idx_1_chunck_5_region_181_labels_1_G.png, 1:0, 2:0, 3:138, 4:1781, 5:2203, 6:2651, 7:308, 8:94, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (78)_color_threshold_idx_2_chunck_10_region_1_labels_2_G.png, 1:0, 2:1486, 3:3519, 4:7916, 5:9757, 6:13074, 7:2301, 8:1034, 9:92, 10:60, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (79)_color_threshold_idx_1_chunck_2_region_1_labels_0_G.png, 1:20, 2:576, 3:1540, 4:13505, 5:8026, 6:10817, 7:2002, 8:569, 9:150, 10:87, 11:14, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (79)_color_threshold_idx_1_chunck_3_region_1_labels_0_G.png, 1:0, 2:0, 3:191, 4:2789, 5:1826, 6:1861, 7:180, 8:135, 9:21, 10:11, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (8)_color_threshold_idx_1_chunck_16_region_47_labels_3_G.png, 1:0, 2:0, 3:3, 4:1676, 5:11682, 6:30449, 7:2522, 8:301, 9:15, 10:13, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (80)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:13, 6:529, 7:30, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (81)_color_threshold_idx_0_chunck_8_region_-1_labels_-1_G.png, 1:1, 2:2947, 3:1666, 4:16, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (81)_color_threshold_idx_1_chunck_14_region_71_labels_2_G.png, 1:275, 2:2273, 3:3180, 4:17979, 5:15178, 6:16241, 7:1806, 8:1040, 9:38, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (82)_color_threshold_idx_1_chunck_7_region_166_labels_0_G.png, 1:0, 2:0, 3:36, 4:217, 5:697, 6:1376, 7:3, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (82)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:88, 6:1551, 7:41, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (83)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:77, 6:2286, 7:64, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (84)_color_threshold_idx_2_chunck_12_region_107_labels_3_G.png, 1:576, 2:6311, 3:4841, 4:2968, 5:2109, 6:2250, 7:552, 8:152, 9:9, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (85)_color_threshold_idx_2_chunck_3_region_2_labels_0_G.png, 1:519, 2:12425, 3:8813, 4:14416, 5:13715, 6:10757, 7:1528, 8:499, 9:43, 10:6, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (85)_color_threshold_idx_2_chunck_4_region_2_labels_0_G.png, 1:7477, 2:30616, 3:17696, 4:18732, 5:10271, 6:9163, 7:1539, 8:889, 9:80, 10:67, 11:11, 12:7, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (86)_color_threshold_idx_2_chunck_13_region_113_labels_1_G.png, 1:0, 2:708, 3:4458, 4:9651, 5:6129, 6:4866, 7:95, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (87)_color_threshold_idx_0_chunck_3_region_174_labels_1_G.png, 1:24061, 2:43528, 3:22687, 4:4387, 5:191, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (87)_color_threshold_idx_1_chunck_8_region_27_labels_1_G.png, 1:0, 2:1, 3:233, 4:2761, 5:989, 6:725, 7:64, 8:1, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (88)_color_threshold_idx_1_chunck_7_region_5_labels_1_G.png, 1:15, 2:515, 3:855, 4:6035, 5:5568, 6:5629, 7:525, 8:92, 9:9, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (89)_color_threshold_idx_0_chunck_2_region_25_labels_1_G.png, 1:67, 2:15128, 3:7456, 4:641, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (9)_color_threshold_idx_1_chunck_15_region_26_labels_3_G.png, 1:0, 2:19, 3:357, 4:1728, 5:1243, 6:1123, 7:29, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (90)_color_threshold_idx_2_chunck_1_region_14_labels_1_G.png, 1:0, 2:0, 3:58, 4:3079, 5:8082, 6:7364, 7:1378, 8:462, 9:63, 10:16, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (91)_color_threshold_idx_2_chunck_10_region_17_labels_2_G.png, 1:10589, 2:64933, 3:24572, 4:38979, 5:33085, 6:27379, 7:5583, 8:1673, 9:108, 10:62, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (92)_color_threshold_idx_2_chunck_10_region_18_labels_2_G.png, 1:1860, 2:47967, 3:19963, 4:34075, 5:32260, 6:23104, 7:5987, 8:2404, 9:232, 10:116, 11:20, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (93)_color_threshold_idx_2_chunck_14_region_201_labels_2_G.png, 1:0, 2:251, 3:4339, 4:12558, 5:18201, 6:11292, 7:997, 8:429, 9:5, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (94)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:0, 2:0, 3:124, 4:2027, 5:3592, 6:2675, 7:118, 8:22, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (95)_color_threshold_idx_1_chunck_0_region_82_labels_0_G.png, 1:0, 2:55, 3:2393, 4:26274, 5:23294, 6:20311, 7:2478, 8:242, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (96)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:44, 5:488, 6:929, 7:56, 8:11, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (96)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:47, 4:1071, 5:2502, 6:3521, 7:228, 8:45, 9:7, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (97)_color_threshold_idx_1_chunck_6_region_116_labels_0_G.png, 1:0, 2:1, 3:696, 4:10671, 5:11259, 6:9182, 7:639, 8:14, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (98)_color_threshold_idx_1_chunck_5_region_113_labels_0_G.png, 1:0, 2:13, 3:900, 4:13294, 5:11733, 6:10025, 7:1417, 8:335, 9:41, 10:4, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (99)_color_threshold_idx_0_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:944, 3:2709, 4:156, 5:0, 6:0, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
