name, contrast, correlation, energy, homogeneity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (58)_color_threshold_idx_1_chunck_7_region_28_labels_1_G.png, 1:16.471915369219968, 2:0.9783336700999361, 3:0.9109348795726865, 4:0.9380155942086698, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_7_region_34_labels_1_G.png, 1:2.1938395258449885, 2:0.9838011447850049, 3:0.981153238339175, 4:0.9878657727488069, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_8_region_34_labels_2_G.png, 1:16.233555488108184, 2:0.9754970502759555, 3:0.9456442484960044, 4:0.9655891930867588, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (6)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:1.9660559739237946, 2:0.9756096453514517, 3:0.9594540172336689, 4:0.9793554435810398, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (60)_color_threshold_idx_2_chunck_7_region_33_labels_1_G.png, 1:10.512853547235478, 2:0.9759965093543277, 3:0.9561793065461125, 4:0.9696386125557955, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (61)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:2.377192030149484, 2:0.9646816726227203, 3:0.9951878318350109, 4:0.9970049033259233, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (62)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:3.7065151555052274, 2:0.9276712331039684, 3:0.9967850242858171, 4:0.9978561281029492, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (63)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:2.1839465782968563, 2:0.9430611788834888, 3:0.9973666072963082, 4:0.9981798663825395, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_1_chunck_12_region_-1_labels_-1_G.png, 1:1.786897895259559, 2:0.949507033471275, 3:0.9975438440987672, 4:0.998232902091292, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_2_chunck_-1_region_-1_labels_-1_G.png, 1:4.018587417395622, 2:0.9164379005567739, 3:0.997211538224892, 4:0.9981093024159511, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (65)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:1.1121626937298403, 2:0.9913140893649751, 3:0.9871741065752669, 4:0.9921448904161329, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_1_chunck_6_region_89_labels_1_G.png, 1:21.830738705738703, 2:0.9751274216409181, 3:0.931330628015273, 4:0.9548824597142717, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_2_chunck_5_region_82_labels_1_G.png, 1:20.97616758241758, 2:0.9759249088545765, 3:0.9318037061113041, 4:0.9554290777145521, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (67)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:51.5432749671877, 2:0.9828630919993288, 3:0.7360779323623168, 4:0.804445921791036, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (68)_color_threshold_idx_1_chunck_9_region_4_labels_3_G.png, 1:30.98193263089737, 2:0.9710563615813153, 3:0.8936198687118333, 4:0.9214195412643429, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (69)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:14.73417318756128, 2:0.9770518608872631, 3:0.9279954647983956, 4:0.9499588836300261, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_0_chunck_6_region_-1_labels_-1_G.png, 1:0.6147710979960654, 2:0.9543158511958117, 3:0.9945651928881577, 4:0.9972694399212142, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_2_chunck_7_region_160_labels_0_G.png, 1:2.199695464194814, 2:0.9797414387236868, 3:0.9766697212173354, 4:0.9883623323652054, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (70)_color_threshold_idx_2_chunck_2_region_14_labels_1_G.png, 1:18.916219890329774, 2:0.974672025109784, 3:0.9418614372268215, 4:0.9609076354011664, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (71)_color_threshold_idx_2_chunck_15_region_-1_labels_-1_G.png, 1:3.518283843815759, 2:0.9038778887951545, 3:0.9972683480465634, 4:0.997855374470297, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_1_chunck_12_region_1_labels_1_G.png, 1:2.5299488297166683, 2:0.989704708308969, 3:0.9694833518053532, 4:0.984426878605707, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_2_chunck_5_region_1_labels_1_G.png, 1:2.824602798572286, 2:0.9847615868125644, 3:0.9775172633095048, 4:0.9881661157709943, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (73)_color_threshold_idx_1_chunck_8_region_-1_labels_-1_G.png, 1:2.9679889697332134, 2:0.9819388323134624, 3:0.9743151393811257, 4:0.9835543656459732, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_3_region_-1_labels_-1_G.png, 1:9.32728481964024, 2:0.9645734152517416, 3:0.9848036843782777, 4:0.990104699728066, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_6_region_389_labels_0_G.png, 1:8.060587654112158, 2:0.9847425448350383, 3:0.9472348994820681, 4:0.9673301615318453, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_0_chunck_7_region_173_labels_1_G.png, 1:1.0509597391824372, 2:0.9600403180342977, 3:0.9905012706606144, 4:0.9944812928767229, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_1_chunck_9_region_7_labels_1_G.png, 1:2.326106834886278, 2:0.9714679498190616, 3:0.9901731585501262, 4:0.993487131715427, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (76)_color_threshold_idx_2_chunck_6_region_-1_labels_-1_G.png, 1:3.389857058185093, 2:0.9609423991232894, 3:0.9941538169899928, 4:0.9957539271579833, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (77)_color_threshold_idx_1_chunck_5_region_181_labels_1_G.png, 1:6.643179168138434, 2:0.9795732118785845, 3:0.9724264372639244, 4:0.9822269630750574, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (78)_color_threshold_idx_2_chunck_10_region_1_labels_2_G.png, 1:15.02677537685562, 2:0.9878233044599785, 3:0.8869522731930946, 4:0.9283826309108479, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (79)_color_threshold_idx_1_chunck_2_region_1_labels_0_G.png, 1:20.620148075562096, 2:0.9823191730799514, 3:0.885647384532456, 4:0.9223207214355125, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (79)_color_threshold_idx_1_chunck_3_region_1_labels_0_G.png, 1:4.2488098910604215, 2:0.9810899902481923, 3:0.9785030979022753, 4:0.9864592729121964, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (8)_color_threshold_idx_1_chunck_16_region_47_labels_3_G.png, 1:24.72247093573507, 2:0.9824955691589822, 3:0.8962328765144533, 4:0.9382943201671878, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (80)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:3.637880684188569, 2:0.9089508237035476, 3:0.9976561847123454, 4:0.9983565343044327, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (81)_color_threshold_idx_0_chunck_8_region_-1_labels_-1_G.png, 1:0.4081180138866031, 2:0.9736413049147233, 3:0.9896566699046241, 4:0.9949398217798403, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (81)_color_threshold_idx_1_chunck_14_region_71_labels_2_G.png, 1:26.42511375716681, 2:0.9784097827743231, 3:0.8690301583523689, 4:0.9217670148040733, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (82)_color_threshold_idx_1_chunck_7_region_166_labels_0_G.png, 1:6.03821690136538, 2:0.9498752632170262, 3:0.9907918193290637, 4:0.9938931587933715, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (82)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:6.862116416678134, 2:0.9386567862697431, 3:0.9932458445425532, 4:0.995557402451924, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (83)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:8.182977121539015, 2:0.9331442634043157, 3:0.9928057253248157, 4:0.9955024410718276, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (84)_color_threshold_idx_2_chunck_12_region_107_labels_3_G.png, 1:5.4483319302068365, 2:0.9875326687495591, 3:0.9180853377597948, 4:0.9541178209271156, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (85)_color_threshold_idx_2_chunck_3_region_2_labels_0_G.png, 1:38.37529459191267, 2:0.9749064478459072, 3:0.7553784603802774, 4:0.8387505772845709, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (85)_color_threshold_idx_2_chunck_4_region_2_labels_0_G.png, 1:30.220688104688662, 2:0.979465163358589, 3:0.625829150533251, 4:0.7699458624569716, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (86)_color_threshold_idx_2_chunck_13_region_113_labels_1_G.png, 1:8.982621246889739, 2:0.9877752266461276, 3:0.8994474155665522, 4:0.9453839508648003, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (87)_color_threshold_idx_0_chunck_3_region_174_labels_1_G.png, 1:6.092749410260496, 2:0.9808801195052352, 3:0.6356940128614021, 4:0.8222168608956623, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (87)_color_threshold_idx_1_chunck_8_region_27_labels_1_G.png, 1:5.299482739189405, 2:0.9636236931237869, 3:0.9809579176513551, 4:0.987359846887322, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (88)_color_threshold_idx_1_chunck_7_region_5_labels_1_G.png, 1:23.11808343346844, 2:0.9683766743044733, 3:0.9242325475228068, 4:0.9471556852557244, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (89)_color_threshold_idx_0_chunck_2_region_25_labels_1_G.png, 1:1.8058196440859762, 2:0.9848099977137174, 3:0.9101465053526739, 4:0.956555895179138, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (9)_color_threshold_idx_1_chunck_15_region_26_labels_3_G.png, 1:9.660537447331315, 2:0.9439904905663798, 3:0.980783904168495, 4:0.98536883603565, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (90)_color_threshold_idx_2_chunck_1_region_14_labels_1_G.png, 1:26.306784618057566, 2:0.9723073552764545, 3:0.9245245216385476, 4:0.9461197677165918, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (91)_color_threshold_idx_2_chunck_10_region_17_labels_2_G.png, 1:32.303381997880564, 2:0.985588310967943, 3:0.24940712959129085, 4:0.5121591468028346, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (92)_color_threshold_idx_2_chunck_10_region_18_labels_2_G.png, 1:24.24294346586893, 2:0.9902149513959042, 3:0.3757559521819847, 4:0.5929640836715596, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (93)_color_threshold_idx_2_chunck_14_region_201_labels_2_G.png, 1:13.000177734981394, 2:0.9868876103243154, 3:0.8915955578873451, 4:0.9365480419438393, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (94)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:6.440374199901528, 2:0.9727494281272339, 3:0.9779903271291053, 4:0.9852322893461855, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (95)_color_threshold_idx_1_chunck_0_region_82_labels_0_G.png, 1:23.58928748783346, 2:0.9854559552876608, 3:0.8121690468733032, 4:0.8877472082547889, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (96)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:3.6827251909167034, 2:0.9371313599330358, 3:0.9959673194992453, 4:0.997155492686018, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (96)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:8.174503414811303, 2:0.9665408060200052, 3:0.9809893879947119, 4:0.9873112781628479, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (97)_color_threshold_idx_1_chunck_6_region_116_labels_0_G.png, 1:21.403166749134094, 2:0.9813675303942566, 3:0.8747759274026042, 4:0.9166428404271194, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (98)_color_threshold_idx_1_chunck_5_region_113_labels_0_G.png, 1:19.507293207418364, 2:0.9855047911368668, 3:0.8553456487994017, 4:0.9034621061193268, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (99)_color_threshold_idx_0_chunck_-1_region_-1_labels_-1_G.png, 1:1.245075845075845, 2:0.9616474210846921, 3:0.984981842375203, 4:0.9912254712308491, 
