name, area, area_bbox, area_convex, area_filled, axis_major_length, area_minor_length, bbox1, bbox2, bbox3, bbox4, bbox5, bbox6, centroid1, centroid2, centroid3, centroid_local1, centroid_local2, centroid_local3, mean(coords_scaled), std(coords_scaled), mean(coords), std(coords), equivalent_diameter_area, euler_number, extent, mean(image), std(image), mean(image_convex), std(image_convex), mean(image_filled), std(image_filled), mean(inertia_tensor), std(inertia_tensor), intertia_tensor_eigvals1, intertia_tensor_eigvals2, intertia_tensor_eigvals3, label, mean(moments), std(moments), mean(moments_central), std(moments_central), mean(moments_normalized), std(moments_normalized), num_pixels, slice1, slice2, slice3, slice4, slice5, slice6, slice7, slice8, slice9, solidity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:170.5, 8:132.0009469663002, 9:170.0, 10:132.0, 11:0.0, 12:0.0, 13:170.0, 14:132.0, 15:170.0, 16:132.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2333, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:97.42857142857143, 39:130.67501361650386, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (122)_color_threshold_idx_2_chunck_14_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:436.0, 8:208.50059951952176, 9:435.5, 10:208.5, 11:0.0, 12:0.0, 13:435.5, 14:208.5, 15:435.5, 16:208.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1122, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:249.14285714285714, 39:267.1994592442286, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (123)_color_threshold_idx_0_chunck_0_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:106.5, 8:7.0178344238090995, 9:106.0, 10:7.0, 11:0.0, 12:0.0, 13:106.0, 14:7.0, 15:106.0, 16:7.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1062, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:60.857142857142854, 39:52.97014946829844, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (124)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:230.5, 8:6.020797289396148, 9:230.0, 10:6.0, 11:0.0, 12:0.0, 13:230.0, 14:6.0, 15:230.0, 16:6.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:23391, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:131.71428571428572, 39:114.15867939684942, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (125)_color_threshold_idx_1_chunck_14_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:229.0, 8:15.508062419270823, 9:228.5, 10:15.5, 11:0.0, 12:0.0, 13:228.5, 14:15.5, 15:228.5, 16:15.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1890, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:130.85714285714286, 39:113.93034033557345, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_1_chunck_17_region_-1_labels_-1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:397.75, 8:75.75412530021055, 9:397.25, 10:75.75, 11:0.25, 12:0.25, 13:397.25, 14:75.75082507801483, 15:397.25, 16:75.75082507801483, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:2937, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:227.28571428571428, 39:204.99596810370568, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (126)_color_threshold_idx_2_chunck_9_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:58.5, 8:14.0089257261219, 9:58.0, 10:14.0, 11:0.0, 12:0.0, 13:58.0, 14:14.0, 15:58.0, 16:14.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1260, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:33.42857142857143, 39:30.82604252834255, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (127)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:484.0, 8:17.507141400011598, 9:483.5, 10:17.5, 11:0.0, 12:0.0, 13:483.5, 14:17.5, 15:483.5, 16:17.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:4525, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:276.57142857142856, 39:239.88321988766424, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (128)_color_threshold_idx_2_chunck_1_region_53_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:475.5, 8:91.00137361600648, 9:475.0, 10:91.0, 11:0.0, 12:0.0, 13:475.0, 14:91.0, 15:475.0, 16:91.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:10868, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:271.7142857142857, 39:245.16042228112846, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (129)_color_threshold_idx_1_chunck_15_region_3_labels_2_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:145.5, 8:1.118033988749895, 9:145.0, 10:1.0, 11:0.0, 12:0.0, 13:145.0, 14:1.0, 15:145.0, 16:1.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:27832, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:83.14285714285714, 39:72.00878631196646, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (13)_color_threshold_idx_1_chunck_5_region_140_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:523.0, 8:50.502475186865844, 9:522.5, 10:50.5, 11:0.0, 12:0.0, 13:522.5, 14:50.5, 15:522.5, 16:50.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:37825, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:298.85714285714283, 39:261.6182762136078, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (130)_color_threshold_idx_1_chunck_19_region_1_labels_3_G.png, 1:4.0, 2:4.0, 3:4.0, 4:4.0, 5:4.47213595499958, 6:0.0, 7:181.75, 8:71.76480683454808, 9:181.25, 10:71.75, 11:0.75, 12:0.75, 13:181.25, 14:71.75435526851314, 15:181.25, 16:71.75435526851314, 17:2.256758334191025, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.3125, 27:0.5412658773652742, 28:0.625, 29:0.625, 30:11042, 31:3.75, 32:9.079509898667439, 33:0.5625, 34:1.4986973510352248, 35:0, 36:0, 37:4, 38:103.85714285714286, 39:105.03663112243757, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (131)_color_threshold_idx_1_chunck_1_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:41.5, 8:10.012492197250394, 9:41.0, 10:10.0, 11:0.0, 12:0.0, 13:41.0, 14:10.0, 15:41.0, 16:10.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:5054, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:23.714285714285715, 39:21.8874672927179, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_0_chunck_9_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:373.0, 8:326.5003828481676, 9:372.5, 10:326.5, 11:0.0, 12:0.0, 13:372.5, 14:326.5, 15:372.5, 16:326.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2108, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:213.14285714285714, 39:308.2014316140981, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (132)_color_threshold_idx_2_chunck_9_region_53_labels_1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:234.75, 8:163.75190838582614, 9:234.25, 10:163.75, 11:0.25, 12:0.25, 13:234.25, 14:163.75038167894448, 15:234.25, 16:163.75038167894448, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:35508, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:134.14285714285714, 39:169.75985439221284, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_1_chunck_20_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:263.5, 8:171.0007309925896, 9:263.0, 10:171.0, 11:0.0, 12:0.0, 13:263.0, 14:171.0, 15:263.0, 16:171.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:613, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:150.57142857142858, 39:183.61127972108994, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (133)_color_threshold_idx_2_chunck_11_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:291.0, 8:164.5007598766644, 9:290.5, 10:164.5, 11:0.0, 12:0.0, 13:290.5, 14:164.5, 15:290.5, 16:164.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:799, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:166.28571428571428, 39:190.26651554799523, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (14)_color_threshold_idx_2_chunck_1_region_31_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:451.0, 8:133.50093632630447, 9:450.5, 10:133.5, 11:0.0, 12:0.0, 13:450.5, 14:133.5, 15:450.5, 16:133.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:3414, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:257.7142857142857, 39:244.9423922276503, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (15)_color_threshold_idx_1_chunck_7_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:358.0, 8:41.50301193889427, 9:357.5, 10:41.5, 11:0.0, 12:0.0, 13:357.5, 14:41.5, 15:357.5, 16:41.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:482, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:204.57142857142858, 39:179.9205039874612, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (16)_color_threshold_idx_2_chunck_1_region_27_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:514.5, 8:51.00245092149984, 9:514.0, 10:51.0, 11:0.0, 12:0.0, 13:514.0, 14:51.0, 15:514.0, 16:51.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:40240, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:294.0, 39:257.5139385963963, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (17)_color_threshold_idx_2_chunck_2_region_52_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:512.0, 8:47.502631506054485, 9:511.5, 10:47.5, 11:0.0, 12:0.0, 13:511.5, 14:47.5, 15:511.5, 16:47.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:30488, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:292.57142857142856, 39:255.90615307896266, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (18)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:291.0, 8:225.50055432304373, 9:290.5, 10:225.5, 11:0.0, 12:0.0, 13:290.5, 14:225.5, 15:290.5, 16:225.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1204, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:166.28571428571428, 39:223.14935055487217, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (19)_color_threshold_idx_0_chunck_4_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:350.5, 8:69.00181157042184, 9:350.0, 10:69.0, 11:0.0, 12:0.0, 13:350.0, 14:69.0, 15:350.0, 16:69.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1786, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:200.28571428571428, 39:181.1256188282551, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (2)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:347.5, 8:204.0006127441778, 9:347.0, 10:204.0, 11:0.0, 12:0.0, 13:347.0, 14:204.0, 15:347.0, 16:204.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2643, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:198.57142857142858, 39:230.98414116425346, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (20)_color_threshold_idx_1_chunck_31_region_112_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:553.5, 8:36.003472054789384, 9:553.0, 10:36.0, 11:0.0, 12:0.0, 13:553.0, 14:36.0, 15:553.0, 16:36.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:15565, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:316.2857142857143, 39:275.2602479139199, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_1_chunck_13_region_99_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:238.5, 8:42.00297608503474, 9:238.0, 10:42.0, 11:0.0, 12:0.0, 13:238.0, 14:42.0, 15:238.0, 16:42.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:6591, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:136.28571428571428, 39:122.22311481842692, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (21)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:3.0, 2:3.0, 3:3.0, 4:3.0, 5:3.265986323710904, 6:0.0, 7:289.5, 8:173.00361267904205, 9:289.0, 10:173.0, 11:0.5, 12:0.5, 13:289.0, 14:173.00096338845438, 15:289.0, 16:173.00096338845438, 17:1.9544100476116797, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.16666666666666666, 27:0.2886751345948129, 28:0.3333333333333333, 29:0.3333333333333333, 30:485, 31:1.25, 32:2.48746859276655, 33:0.3125, 34:0.8454843286542927, 35:0, 36:0, 37:3, 38:165.42857142857142, 39:193.9792751395712, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (22)_color_threshold_idx_2_chunck_0_region_102_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:510.5, 8:41.00304866714181, 9:510.0, 10:41.0, 11:0.0, 12:0.0, 13:510.0, 14:41.0, 15:510.0, 16:41.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:77355, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:291.7142857142857, 39:254.52629069127855, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (23)_color_threshold_idx_1_chunck_1_region_64_labels_0_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:457.25, 8:162.7519201115612, 9:456.75, 10:162.75, 11:0.25, 12:0.25, 13:456.75, 14:162.75038402412451, 15:456.75, 16:162.75038402412451, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:9375, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:261.2857142857143, 39:257.563148587301, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_0_chunck_7_region_113_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:493.0, 8:14.508618128546908, 9:492.5, 10:14.5, 11:0.0, 12:0.0, 13:492.5, 14:14.5, 15:492.5, 16:14.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:6784, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:281.7142857142857, 39:244.21811930304918, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (24)_color_threshold_idx_2_chunck_0_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:344.0, 8:217.50057471188438, 9:343.5, 10:217.5, 11:0.0, 12:0.0, 13:343.5, 14:217.5, 15:343.5, 16:217.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:567, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:196.57142857142858, 39:236.6696655937235, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_5_region_181_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:454.0, 8:68.50182479321262, 9:453.5, 10:68.5, 11:0.0, 12:0.0, 13:453.5, 14:68.5, 15:453.5, 16:68.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:29794, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:259.42857142857144, 39:230.56195767413718, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (25)_color_threshold_idx_1_chunck_7_region_181_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:597.5, 8:27.004629232781554, 9:597.0, 10:27.0, 11:0.0, 12:0.0, 13:597.0, 14:27.0, 15:597.0, 16:27.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:5949, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:341.42857142857144, 39:296.3896359971627, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (26)_color_threshold_idx_2_chunck_1_region_1_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:369.0, 8:105.50118482747007, 9:368.5, 10:105.5, 11:0.0, 12:0.0, 13:368.5, 14:105.5, 15:368.5, 16:105.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:91557, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:210.85714285714286, 39:199.26323477925843, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (27)_color_threshold_idx_2_chunck_3_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:380.0, 8:169.50073746152256, 9:379.5, 10:169.5, 11:0.0, 12:0.0, 13:379.5, 14:169.5, 15:379.5, 16:169.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:57061, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:217.14285714285714, 39:227.5537164661369, 40:1.0, 
