dark purple, light purple, dark blue, light blue, dark green, light green, yellow, orange, dark red, light red, white
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1551, 2:1766, 3:2094, 4:1179, 5:420, 6:401, 7:451, 8:165, 9:26, 10:2, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (45)_color_threshold_idx_1_chunck_15_region_110_labels_3_G.png, 1:0, 2:0, 3:125, 4:2089, 5:3050, 6:4707, 7:9180, 8:12905, 9:2985, 10:3013, 11:891, 12:83, 13:6, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (45)_color_threshold_idx_1_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:280, 5:2205, 6:7322, 7:11517, 8:12554, 9:3059, 10:3568, 11:1158, 12:479, 13:46, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_0_chunck_6_region_26_labels_3_G.png, 1:3080, 2:4442, 3:2844, 4:9178, 5:7245, 6:6543, 7:4147, 8:2401, 9:159, 10:57, 11:1, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:0, 2:10, 3:48, 4:240, 5:366, 6:618, 7:1315, 8:1146, 9:58, 10:5, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (47)_color_threshold_idx_1_chunck_11_region_55_labels_1_G.png, 1:86, 2:1183, 3:1143, 4:880, 5:708, 6:673, 7:250, 8:105, 9:50, 10:86, 11:40, 12:5, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (48)_color_threshold_idx_2_chunck_7_region_4_labels_3_G.png, 1:140, 2:883, 3:1108, 4:2524, 5:3587, 6:6086, 7:7742, 8:8738, 9:1988, 10:1973, 11:530, 12:233, 13:13, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (49)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:82, 5:602, 6:1965, 7:3161, 8:3343, 9:791, 10:951, 11:280, 12:136, 13:7, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (5)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:2, 4:126, 5:1101, 6:5146, 7:17633, 8:25279, 9:4948, 10:5212, 11:1404, 12:483, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_5_region_9_labels_1_G.png, 1:1571, 2:1321, 3:309, 4:255, 5:96, 6:21, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_9_region_9_labels_3_G.png, 1:4644, 2:3538, 3:2359, 4:3725, 5:2913, 6:2797, 7:708, 8:97, 9:3, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (51)_color_threshold_idx_1_chunck_10_region_65_labels_2_G.png, 1:13379, 2:43498, 3:14616, 4:5958, 5:6543, 6:11429, 7:22286, 8:27286, 9:5917, 10:3741, 11:817, 12:411, 13:43, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (52)_color_threshold_idx_0_chunck_0_region_42_labels_0_G.png, 1:1976, 2:4081, 3:6190, 4:22449, 5:14555, 6:11795, 7:5485, 8:3010, 9:227, 10:107, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (53)_color_threshold_idx_0_chunck_0_region_13_labels_0_G.png, 1:5196, 2:8185, 3:8206, 4:26228, 5:31191, 6:33796, 7:22497, 8:13034, 9:1552, 10:835, 11:294, 12:71, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (54)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:16, 5:83, 6:95, 7:647, 8:1964, 9:436, 10:148, 11:45, 12:28, 13:1, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (55)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:2775, 2:7546, 3:4446, 4:3565, 5:3145, 6:5092, 7:8121, 8:8343, 9:638, 10:146, 11:2, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (56)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:26, 6:139, 7:1013, 8:3313, 9:891, 10:897, 11:212, 12:51, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_1_chunck_2_region_4_labels_1_G.png, 1:87, 2:242, 3:655, 4:1634, 5:1586, 6:2412, 7:4288, 8:3255, 9:214, 10:23, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (57)_color_threshold_idx_2_chunck_0_region_4_labels_0_G.png, 1:21, 2:370, 3:605, 4:1827, 5:3273, 6:8610, 7:19397, 8:21862, 9:2419, 10:1826, 11:345, 12:148, 13:12, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (58)_color_threshold_idx_1_chunck_7_region_28_labels_1_G.png, 1:59, 2:3674, 3:5181, 4:5370, 5:6526, 6:7656, 7:6470, 8:3014, 9:347, 10:197, 11:33, 12:1, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_7_region_34_labels_1_G.png, 1:2634, 2:14501, 3:11700, 4:4051, 5:2435, 6:566, 7:21, 8:6, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (59)_color_threshold_idx_1_chunck_8_region_34_labels_2_G.png, 1:1103, 2:7260, 3:6486, 4:7655, 5:9670, 6:16003, 7:27118, 8:34312, 9:7904, 10:5688, 11:949, 12:284, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (6)_color_threshold_idx_0_chunck_3_region_-1_labels_-1_G.png, 1:7, 2:804, 3:4722, 4:16056, 5:10304, 6:6000, 7:1646, 8:497, 9:2, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (60)_color_threshold_idx_2_chunck_7_region_33_labels_1_G.png, 1:3, 2:173, 3:902, 4:5437, 5:5062, 6:5934, 7:5072, 8:2690, 9:318, 10:177, 11:41, 12:10, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (61)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:63, 6:861, 7:1704, 8:2683, 9:1203, 10:618, 11:83, 12:7, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (62)_color_threshold_idx_2_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:1, 5:313, 6:1504, 7:3476, 8:3720, 9:846, 10:556, 11:121, 12:6, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (63)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:1, 5:70, 6:147, 7:765, 8:886, 9:231, 10:118, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_1_chunck_12_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:5, 6:105, 7:448, 8:183, 9:2, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (64)_color_threshold_idx_2_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:2, 6:251, 7:2130, 8:679, 9:189, 10:172, 11:74, 12:56, 13:30, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (65)_color_threshold_idx_1_chunck_16_region_-1_labels_-1_G.png, 1:4416, 2:8619, 3:2441, 4:261, 5:55, 6:2, 7:0, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_1_chunck_6_region_89_labels_1_G.png, 1:0, 2:208, 3:2128, 4:3633, 5:7111, 6:14026, 7:16427, 8:15751, 9:2096, 10:882, 11:75, 12:11, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (66)_color_threshold_idx_2_chunck_5_region_82_labels_1_G.png, 1:0, 2:161, 3:1903, 4:3660, 5:7037, 6:14070, 7:16427, 8:15751, 9:2096, 10:882, 11:75, 12:11, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (67)_color_threshold_idx_1_chunck_-1_region_4_labels_0_G.png, 1:30755, 2:22333, 3:10643, 4:3996, 5:2393, 6:3627, 7:13588, 8:15483, 9:2018, 10:1458, 11:288, 12:106, 13:9, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (68)_color_threshold_idx_1_chunck_9_region_4_labels_3_G.png, 1:8155, 2:8923, 3:5154, 4:2235, 5:2348, 6:6332, 7:12454, 8:15086, 9:1661, 10:798, 11:114, 12:75, 13:4, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (69)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:41, 2:2420, 3:4665, 4:4892, 5:5194, 6:6703, 7:5980, 8:2917, 9:344, 10:187, 11:30, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_0_chunck_6_region_-1_labels_-1_G.png, 1:0, 2:476, 3:1830, 4:4303, 5:2684, 6:1718, 7:1041, 8:210, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (7)_color_threshold_idx_2_chunck_7_region_160_labels_0_G.png, 1:82, 2:7072, 3:5255, 4:5118, 5:3645, 6:3755, 7:2446, 8:1059, 9:47, 10:10, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (70)_color_threshold_idx_2_chunck_2_region_14_labels_1_G.png, 1:0, 2:0, 3:18, 4:986, 5:4512, 6:7020, 7:7585, 8:8426, 9:2238, 10:2337, 11:583, 12:251, 13:15, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (71)_color_threshold_idx_2_chunck_15_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:3, 5:12, 6:160, 7:613, 8:658, 9:92, 10:69, 11:3, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_1_chunck_12_region_1_labels_1_G.png, 1:0, 2:234, 3:2464, 4:5193, 5:3763, 6:1766, 7:510, 8:131, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (72)_color_threshold_idx_2_chunck_5_region_1_labels_1_G.png, 1:303, 2:3832, 3:1755, 4:2283, 5:2355, 6:4005, 7:6105, 8:6005, 9:902, 10:446, 11:124, 12:168, 13:59, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (73)_color_threshold_idx_1_chunck_8_region_-1_labels_-1_G.png, 1:4492, 2:12330, 3:7077, 4:2380, 5:749, 6:241, 7:53, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_3_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:509, 7:3865, 8:1402, 9:177, 10:94, 11:22, 12:12, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (74)_color_threshold_idx_1_chunck_6_region_389_labels_0_G.png, 1:0, 2:0, 3:162, 4:3683, 5:5118, 6:3491, 7:3555, 8:2685, 9:691, 10:299, 11:79, 12:27, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_0_chunck_7_region_173_labels_1_G.png, 1:0, 2:497, 3:1041, 4:2594, 5:1063, 6:728, 7:169, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (75)_color_threshold_idx_1_chunck_9_region_7_labels_1_G.png, 1:0, 2:30, 3:573, 4:837, 5:912, 6:535, 7:605, 8:871, 9:149, 10:104, 11:14, 12:7, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (76)_color_threshold_idx_2_chunck_6_region_-1_labels_-1_G.png, 1:0, 2:2, 3:225, 4:514, 5:894, 6:1474, 7:1393, 8:954, 9:223, 10:335, 11:62, 12:38, 13:3, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (77)_color_threshold_idx_1_chunck_5_region_181_labels_1_G.png, 1:0, 2:0, 3:240, 4:2077, 5:1498, 6:1938, 7:3735, 8:5285, 9:1603, 10:1431, 11:481, 12:428, 13:54, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (78)_color_threshold_idx_2_chunck_10_region_1_labels_2_G.png, 1:23, 2:2332, 3:4284, 4:8053, 5:9628, 6:16709, 7:13796, 8:5879, 9:286, 10:801, 11:117, 12:221, 13:259, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (79)_color_threshold_idx_1_chunck_2_region_1_labels_0_G.png, 1:933, 2:8279, 3:17285, 4:11022, 5:5233, 6:5308, 7:6305, 8:4791, 9:1008, 10:557, 11:98, 12:101, 13:18, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (79)_color_threshold_idx_1_chunck_3_region_1_labels_0_G.png, 1:0, 2:198, 3:2540, 4:4639, 5:1654, 6:1406, 7:1638, 8:848, 9:140, 10:139, 11:73, 12:98, 13:18, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (8)_color_threshold_idx_1_chunck_16_region_47_labels_3_G.png, 1:972, 2:5671, 3:6770, 4:12403, 5:15466, 6:30190, 7:33954, 8:41226, 9:10289, 10:12231, 11:4261, 12:2021, 13:54, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (80)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:66, 7:1074, 8:242, 9:1, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (81)_color_threshold_idx_0_chunck_8_region_-1_labels_-1_G.png, 1:0, 2:67, 3:869, 4:3465, 5:846, 6:589, 7:40, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (81)_color_threshold_idx_1_chunck_14_region_71_labels_2_G.png, 1:1700, 2:25944, 3:16971, 4:3393, 5:1694, 6:4098, 7:19114, 8:32871, 9:8146, 10:8870, 11:4047, 12:2879, 13:412, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (82)_color_threshold_idx_1_chunck_7_region_166_labels_0_G.png, 1:0, 2:0, 3:0, 4:446, 5:1073, 6:2617, 7:2811, 8:2660, 9:328, 10:80, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (82)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:0, 6:315, 7:2990, 8:1739, 9:402, 10:558, 11:220, 12:164, 13:26, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (83)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:0, 5:83, 6:988, 7:3038, 8:3790, 9:1196, 10:1235, 11:204, 12:113, 13:5, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (84)_color_threshold_idx_2_chunck_12_region_107_labels_3_G.png, 1:1563, 2:6920, 3:1999, 4:1282, 5:1276, 6:1694, 7:1785, 8:1053, 9:3, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (85)_color_threshold_idx_2_chunck_3_region_2_labels_0_G.png, 1:1346, 2:7501, 3:7208, 4:22506, 5:17747, 6:15441, 7:12057, 8:8836, 9:1557, 10:1259, 11:295, 12:117, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (85)_color_threshold_idx_2_chunck_4_region_2_labels_0_G.png, 1:507, 2:10031, 3:9280, 4:18090, 5:17967, 6:15100, 7:10045, 8:7095, 9:1316, 10:1036, 11:269, 12:102, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (86)_color_threshold_idx_2_chunck_13_region_113_labels_1_G.png, 1:0, 2:1120, 3:2064, 4:5892, 5:6412, 6:6574, 7:4443, 8:2947, 9:506, 10:490, 11:236, 12:265, 13:72, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (87)_color_threshold_idx_0_chunck_3_region_174_labels_1_G.png, 1:140, 2:1916, 3:5691, 4:23323, 5:15494, 6:12413, 7:5670, 8:4477, 9:567, 10:404, 11:91, 12:85, 13:6, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (87)_color_threshold_idx_1_chunck_8_region_27_labels_1_G.png, 1:0, 2:704, 3:2435, 4:1737, 5:1037, 6:788, 7:924, 8:983, 9:53, 10:1, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (88)_color_threshold_idx_1_chunck_7_region_5_labels_1_G.png, 1:477, 2:6848, 3:10918, 4:19071, 5:13048, 6:12390, 7:12927, 8:15337, 9:1502, 10:988, 11:280, 12:85, 13:20, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (89)_color_threshold_idx_0_chunck_2_region_25_labels_1_G.png, 1:105, 2:7597, 3:6226, 4:8007, 5:2850, 6:1900, 7:336, 8:0, 9:0, 10:0, 11:0, 12:0, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (9)_color_threshold_idx_1_chunck_15_region_26_labels_3_G.png, 1:0, 2:291, 3:1728, 4:1386, 5:1036, 6:1704, 7:2614, 8:3805, 9:1016, 10:496, 11:78, 12:27, 13:11, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (90)_color_threshold_idx_2_chunck_1_region_14_labels_1_G.png, 1:1, 2:44, 3:390, 4:5074, 5:9560, 6:12297, 7:12173, 8:12704, 9:2477, 10:1758, 11:444, 12:302, 13:142, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (91)_color_threshold_idx_2_chunck_10_region_17_labels_2_G.png, 1:0, 2:14, 3:807, 4:6651, 5:9099, 6:9799, 7:13298, 8:10812, 9:1771, 10:1176, 11:232, 12:149, 13:20, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (92)_color_threshold_idx_2_chunck_10_region_18_labels_2_G.png, 1:5, 2:134, 3:1875, 4:11765, 5:13205, 6:13500, 7:10917, 8:11301, 9:2303, 10:2326, 11:705, 12:454, 13:35, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (93)_color_threshold_idx_2_chunck_14_region_201_labels_2_G.png, 1:0, 2:0, 3:75, 4:1854, 5:5600, 6:12231, 7:12964, 8:13266, 9:2446, 10:1904, 11:221, 12:102, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (94)_color_threshold_idx_1_chunck_6_region_82_labels_1_G.png, 1:0, 2:233, 3:1459, 4:1705, 5:2818, 6:4666, 7:4263, 8:3934, 9:821, 10:909, 11:319, 12:167, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (95)_color_threshold_idx_1_chunck_0_region_82_labels_0_G.png, 1:0, 2:801, 3:11289, 4:7646, 5:7896, 6:18524, 7:34058, 8:46291, 9:8756, 10:5488, 11:983, 12:126, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (96)_color_threshold_idx_1_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:6, 5:43, 6:160, 7:1446, 8:1994, 9:548, 10:618, 11:177, 12:18, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (96)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:0, 2:0, 3:0, 4:40, 5:405, 6:971, 7:4949, 8:3406, 9:282, 10:199, 11:90, 12:7, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (97)_color_threshold_idx_1_chunck_6_region_116_labels_0_G.png, 1:257, 2:21029, 3:12654, 4:4443, 5:5228, 6:6818, 7:11224, 8:10795, 9:2494, 10:1604, 11:324, 12:103, 13:13, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (98)_color_threshold_idx_1_chunck_5_region_113_labels_0_G.png, 1:76, 2:11330, 3:9727, 4:3207, 5:3803, 6:8394, 7:9986, 8:7721, 9:1423, 10:1281, 11:323, 12:104, 13:0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (99)_color_threshold_idx_0_chunck_-1_region_-1_labels_-1_G.png, 1:0, 2:21, 3:732, 4:4241, 5:1959, 6:1242, 7:550, 8:70, 9:0, 10:0, 11:0, 12:0, 13:0, 
